,0,ID,Name,lat,lon
0,1,NDA81,NORD GREENLAND,81.4,342.5
1,2,THJ77,THULE/QAANAAQ,77.5,290.8
2,3,THJ76,THULE,76.54,291.56
5,6,NO369,NORILSK,69.2,88.0
6,7,KI167,KIRUNA SWEDEN,67.86,20.43
7,8,SMJ67,SONDRESTROM,66.98,309.06
8,9,ZH466,ZHIGANSK,66.8,123.4
9,10,SH266,SALEKHARD,66.51,66.66
11,12,CO764,COLLEGE AK,64.9,212.0
13,14,GA762,GAKONA,62.38,215.0
14,15,YA462,YAKUTSK,62.0,129.6
15,16,TZ362,TUNGUSKA,61.58,90.02
16,17,NQJ61,NARSSARSSUAQ,61.2,314.6
17,18,MA560,MAGADAN,60.09,150.93
18,19,LD160,ST. PETERSBURG,60.0,30.7
19,20,KS759,KING SALMON,58.4,203.6
20,21,MO156,ELEKTROUGLI,55.76,38.28
21,22,MA155,MOSCOW,55.49,37.29
22,23,MO155,MOSCOW,55.47,37.3
23,24,NV355,NOVOSIBIRSK,55.02,82.21
24,25,JR055,JULIUSRUH,54.6,13.4
27,28,GSJ53,GOOSE BAY,53.3,299.7
28,29,PK553,PETROPAVLOVSK,52.97,158.24
29,30,EA653,EARECKSON,52.73,185.92
30,31,IR352,IRKUTSK,52.4,104.3
31,32,MZ152,WARSAW,52.2,21.1
32,33,MH453,MOHE,52.0,122.52
33,34,FF051,FAIRFORD,51.7,358.5
35,36,DB049,DOURBES,50.1,4.6
36,37,PQ052,PRUHONICE,50.0,14.6
37,38,SO148,SOPRON,47.63,16.72
38,39,KB547,KHABAROVSK,47.52,134.77
39,40,RV149,ROSTOV,47.24,39.63
40,41,AL945,ALPENA,45.07,276.44
41,42,IF843,IDAHO NATIONAL LAB,43.81,247.32
42,43,AC843,IDAHO NATIONAL LAB,43.81,247.32
43,44,MHJ45,MILLSTONE HILL,42.6,288.5
44,45,HAJ43,HANSCOM AFB,42.5,288.7
46,47,RM041,ROME,41.8,12.5
47,48,EB040,ROQUETES,40.8,0.5
48,49,VT139,SAN VITO,40.6,17.8
50,51,BC840,BOULDER,40.0,254.7
51,52,CS839,COLORADO_SPRINGS,39.0,255.12
52,53,KI939,KENT IS,38.96,283.72
55,56,GM037,GIBILMANNA,37.9,14.0
56,57,WP937,WALLOPS IS,37.9,284.5
58,59,IC437,I-CHEON,37.14,127.54
60,61,SN437,OSAN AB,37.1,127.0
61,62,TO535,KOKUBUNJI,35.7,139.5
62,63,XI434,XINXIANG CHINA,35.3,113.92
63,64,NI135,NICOSIA,35.03,33.16
64,65,KR835,KIRTLAND,35.0,253.47
65,66,PA836,PT ARGUELLO,34.8,239.5
66,67,MU834,MUNYO,33.56,253.35
67,68,JJ433,JEJU,33.43,126.3
68,69,MU230,MULTAN,33.03,72.01
69,70,CH833,CHERRY,32.9,253.59
70,71,SQ832,SQUIRT,32.42,253.71
71,72,BJJ32,BERMUDA,32.4,295.3
72,73,DS932,DYESS AFB,32.4,260.2
73,74,EG931,EGLIN AFB,30.5,273.5
74,75,WU430,WUHAN,30.5,114.4
75,76,AU930,AUSTIN,30.4,262.3
76,77,ME929,MELROSE,29.71,278.0
77,78,OK426,OKINAWA,26.68,128.15
78,79,CL424,CHUNG-LI,25.0,121.2
79,80,DH224,AL DHAFRA AFB,24.24,54.58
80,81,AH223,AHMEDABAD,23.0,72.5
81,82,LL721,LUALUALEI,21.43,201.85
82,83,HA419,HAINAN,19.4,109.0
83,84,WA619,WAKE,19.29,166.65
84,85,PRJ18,RAMEY,18.5,292.9
85,86,SA418,SANYA,18.34,109.42
86,87,SJJ18,PUERTO RICO,18.11,293.75
88,89,GA313,GADANKI,13.46,79.17
89,90,KJ609,KWAJALEIN,9.0,167.2
91,92,IL008,ILORIN,8.5,4.5
92,93,BVJ03,BOA VISTA,2.8,299.3
93,94,BLJ03,BELEM,1.43,311.56
95,96,FZA0M,FORTALEZA,-3.9,321.6
96,97,AS00Q,ASCENSION ISLAND,-7.95,345.6
98,99,JI91J,JICAMARCA,-12.0,283.2
99,100,CS31K,COCOS_ISLAND,-12.18,96.83
100,101,DW41K,DARWIN,-12.45,130.95
101,102,ND61R,NIUE,-19.07,190.07
102,103,TV51R,TOWNSVILLE,-19.63,146.85
103,104,SH42_,SOUTH HEDLAND,-20.4,118.5
104,105,CGK21,CAMPO GRANDE,-20.5,305.0
106,107,MU12K,MADIMBO,-22.39,30.88
107,108,CAJ2M,CACHOEIRA PAULISTA,-22.7,315.0
108,109,TUJ2O,TUCUMAN,-26.9,294.6
109,110,TNJ20,TUCUMAN AIS-INGV,-26.9,294.6
110,111,BR52P,BRISBANE,-27.06,153.06
111,112,LA42Q,LAVERTON,-28.3,122.8
112,113,LV12P,LOUISVALE,-28.5,21.2
114,115,SMK29,SANTA MARIA,-29.73,306.29
115,116,PE43K,PERTH,-32.0,116.13
116,117,GR13L,GRAHAMSTOWN,-33.3,26.5
117,118,CN53L,CAMDEN,-34.05,150.67
118,119,HE13N,HERMANUS,-34.42,19.22
120,121,BV53Q,BUNDOORA,-37.7,145.05
121,122,HO54K,HOBART,-42.92,147.32
122,123,PSJ5J,PORT STANLEY,-51.6,302.1
123,124,ZS36R,ZHONG SHAN,-69.4,76.4
124,125,JB57N,JANG BOGO,-74.62,164.24
